1,0,motorcycle,blue,b''
2,0,motorcycle,white,b''
3,0,motorcycle,white,b''
4,0,motorcycle,white,b''
5,0,motorcycle,blue,b''
6,0,car,white,b''
7,0,motorcycle,blue,b''
8,0,motorcycle,blue,b''
9,0,truck,orange,b''
10,0,car,blue,b''
11,0,motorcycle,blue,b''
12,0,car,blue,b''
13,0,motorcycle,blue,b''
14,0,motorcycle,blue,b''
15,0,truck,white,b''
16,1,car,white,b''
17,1,car,white,b''
18,1,car,blue,b''
19,1,motorcycle,blue,b''
20,1,motorcycle,white,b''
21,1,car,blue,b''
22,9,motorcycle,blue,b''
23,9,truck,blue,b''
24,9,car,blue,b''
25,12,car,blue,b''
26,13,car,blue,b''
27,13,car,white,b''
28,15,car,blue,b''
29,17,motorcycle,blue,b''
30,19,car,white,b''
31,26,car,white,b''
32,27,motorcycle,white,b''
33,31,car,white,b''
34,31,car,blue,b''
35,36,car,blue,b''
36,41,motorcycle,blue,b''
37,44,car,white,b''
38,47,car,blue,b''
39,51,car,blue,b''
40,53,car,blue,b''
41,54,motorcycle,blue,b''
42,55,motorcycle,white,b''
43,55,motorcycle,blue,b''
44,58,car,white,b''
45,58,motorcycle,blue,b''
46,59,car,white,b''
47,59,car,white,b''
48,61,car,blue,b''
49,64,car,blue,b''
50,66,car,white,"b'al) VE Ch pe Se \xe2\x80\x9cTete,\n'"
51,69,motorcycle,blue,"b'a) VE Ch pe a \xe2\x80\x9cTete,\n'"
52,71,motorcycle,white,b'=\n\nIe Oe eS \xe2\x80\x9cDeeg\n'
53,76,car,blue,b''
54,77,motorcycle,white,b''
55,83,car,blue,b''
56,90,motorcycle,red,b''
57,91,motorcycle,blue,b''
58,95,car,blue,b''
59,101,motorcycle,orange,b''
60,115,motorcycle,white,b''
61,125,car,blue,b''
62,129,motorcycle,blue,b''
63,130,motorcycle,orange,b''
64,132,car,blue,b''
65,143,motorcycle,white,b''
66,144,motorcycle,white,b''
67,146,motorcycle,white,b''
68,159,truck,white,b''
69,216,car,blue,b''
70,222,car,blue,b''
71,235,truck,blue,b''
72,244,car,blue,b''
73,245,car,white,b''
74,252,car,white,b''
75,256,truck,blue,b''
76,261,truck,white,b''
77,263,truck,white,b''
78,273,car,blue,b''
79,282,truck,white,b''
80,284,car,white,b''
81,287,car,white,b''
82,287,truck,blue,b''
83,287,truck,white,b''
84,295,motorcycle,blue,b'BNC ae Dee)\n'
85,296,truck,white,b''
86,297,car,white,b''
87,297,motorcycle,blue,b''
88,299,motorcycle,red,b'fet ee Eee)\n'
89,299,car,blue,b'fet ee Eee)\n'
90,302,truck,red,b'Wee a ee Deel)\n'
91,303,truck,white,b''
92,304,truck,white,b''
93,307,car,white,b''
94,307,motorcycle,blue,b''
95,311,car,red,b''
96,313,motorcycle,white,b''
97,314,car,white,b''
98,317,car,red,b''
99,319,motorcycle,white,b''
100,319,truck,white,b''
101,320,truck,white,b''
102,322,truck,white,b''
103,325,car,red,b''
104,325,car,white,b''
105,330,motorcycle,white,b''
106,330,car,red,b''
107,332,truck,white,b''
108,334,motorcycle,red,b''
109,336,car,blue,b'Pies Denese\n'
110,345,car,white,b''
111,351,car,white,b''
112,353,car,white,b''
113,353,car,white,b''
114,356,car,white,b''
115,357,truck,white,b''
116,358,car,blue,b''
117,360,car,white,b''
118,366,motorcycle,red,b''
119,367,motorcycle,blue,b''
120,367,car,white,b''
121,369,motorcycle,blue,b''
122,370,car,white,b''
123,376,car,white,b''
124,386,car,white,b''
125,391,motorcycle,blue,b''
126,393,car,white,b''
127,395,bus,white,b''
128,399,car,white,b''
129,403,car,blue,b''
130,406,car,blue,b''
131,408,car,white,b''
132,409,car,white,b''
133,409,car,blue,b''
134,411,car,blue,b''
135,415,motorcycle,blue,b''
136,415,car,blue,b''
137,427,motorcycle,blue,b''
138,429,car,blue,b''
139,432,motorcycle,white,b''
140,436,motorcycle,blue,b''
141,449,car,blue,b''
142,451,car,white,b''
143,461,car,blue,b''
144,463,car,blue,b''
145,472,car,blue,b''
146,475,car,blue,b''
147,486,motorcycle,blue,b''
148,493,car,blue,b''
149,496,car,white,b''
150,496,motorcycle,white,b''
151,502,car,white,b''
152,506,car,blue,b''
153,511,motorcycle,blue,b''
154,513,motorcycle,blue,b''
155,514,truck,blue,b''
156,516,motorcycle,blue,b''
157,517,car,blue,b''
158,518,car,white,b''
159,519,motorcycle,blue,b''
160,519,car,blue,b''
161,523,motorcycle,blue,b''
162,528,car,white,b''
163,530,motorcycle,blue,b''
164,531,motorcycle,blue,b''
165,541,motorcycle,white,b''
166,545,motorcycle,blue,b''
167,549,motorcycle,red,b''
168,554,motorcycle,blue,b''
169,555,motorcycle,white,b''
170,555,motorcycle,blue,b''
171,556,motorcycle,blue,b''
172,558,motorcycle,blue,b''
173,561,car,blue,b''
174,562,motorcycle,blue,b'Oe Oi ee \xe2\x80\x9cBenes I\n'
175,563,motorcycle,blue,b'Re Ch bee \xe2\x80\x9cBees\n'
176,566,motorcycle,blue,b''
177,572,motorcycle,white,b''
178,582,bus,white,b''
1,0,motorcycle,blue,b''
2,0,motorcycle,white,b''
3,0,motorcycle,white,b''
4,0,motorcycle,white,b''
5,0,motorcycle,blue,b''
6,0,car,white,b''
7,0,motorcycle,blue,b''
8,0,motorcycle,blue,b''
9,0,truck,orange,b''
10,0,car,blue,b''
11,0,motorcycle,blue,b''
12,0,car,blue,b''
13,0,motorcycle,blue,b''
14,0,motorcycle,blue,b''
15,0,truck,white,b''
16,1,car,white,b''
17,1,car,white,b''
18,1,car,blue,b''
19,1,motorcycle,blue,b''
20,1,motorcycle,white,b''
21,1,car,blue,b''
22,9,motorcycle,blue,b''
23,9,truck,blue,b''
24,9,car,blue,b''
25,12,car,blue,b''
26,13,car,blue,b''
27,13,car,white,b''
28,15,car,blue,b''
29,17,motorcycle,blue,b''
30,19,car,white,b''
31,26,car,white,b''
32,27,motorcycle,white,b''
33,31,car,white,b''
34,31,car,blue,b''
35,36,car,blue,b''
36,41,motorcycle,blue,b''
37,44,car,white,b''
38,47,car,blue,b''
39,51,car,blue,b''
40,53,car,blue,b''
41,54,motorcycle,blue,b''
42,55,motorcycle,white,b''
43,55,motorcycle,blue,b''
44,58,car,white,b''
45,58,motorcycle,blue,b''
46,59,car,white,b''
47,59,car,white,b''
48,61,car,blue,b''
49,64,car,blue,b''
50,66,car,white,"b'al) VE Ch pe Se \xe2\x80\x9cTete,\n'"
51,69,motorcycle,blue,"b'a) VE Ch pe a \xe2\x80\x9cTete,\n'"
52,71,motorcycle,white,b'=\n\nIe Oe eS \xe2\x80\x9cDeeg\n'
53,76,car,blue,b''
54,77,motorcycle,white,b''
55,83,car,blue,b''
56,90,motorcycle,red,b''
57,91,motorcycle,blue,b''
58,95,car,blue,b''
59,101,motorcycle,orange,b''
60,115,motorcycle,white,b''
61,125,car,blue,b''
62,129,motorcycle,blue,b''
63,130,motorcycle,orange,b''
64,132,car,blue,b''
65,143,motorcycle,white,b''
66,144,motorcycle,white,b''
67,146,motorcycle,white,b''
68,159,truck,white,b''
69,216,car,blue,b''
70,222,car,blue,b''
71,235,truck,blue,b''
72,244,car,blue,b''
73,245,car,white,b''
74,252,car,white,b''
75,256,truck,blue,b''
76,261,truck,white,b''
77,263,truck,white,b''
78,273,car,blue,b''
79,282,truck,white,b''
80,284,car,white,b''
81,287,car,white,b''
82,287,truck,blue,b''
83,287,truck,white,b''
84,295,motorcycle,blue,b'BNC ae Dee)\n'
85,296,truck,white,b''
86,297,car,white,b''
87,297,motorcycle,blue,b''
88,299,motorcycle,red,b'fet ee Eee)\n'
89,299,car,blue,b'fet ee Eee)\n'
90,302,truck,red,b'Wee a ee Deel)\n'
91,303,truck,white,b''
92,304,truck,white,b''
93,307,car,white,b''
94,307,motorcycle,blue,b''
95,311,car,red,b''
96,313,motorcycle,white,b''
97,314,car,white,b''
98,317,car,red,b''
99,319,motorcycle,white,b''
100,319,truck,white,b''
101,320,truck,white,b''
102,322,truck,white,b''
103,325,car,red,b''
104,325,car,white,b''
105,330,motorcycle,white,b''
106,330,car,red,b''
107,332,truck,white,b''
108,334,motorcycle,red,b''
109,336,car,blue,b'Pies Denese\n'
110,345,car,white,b''
111,351,car,white,b''
112,353,car,white,b''
113,353,car,white,b''
114,356,car,white,b''
115,357,truck,white,b''
116,358,car,blue,b''
117,360,car,white,b''
118,366,motorcycle,red,b''
119,367,motorcycle,blue,b''
120,367,car,white,b''
121,369,motorcycle,blue,b''
122,370,car,white,b''
123,376,car,white,b''
124,386,car,white,b''
125,391,motorcycle,blue,b''
126,393,car,white,b''
127,395,bus,white,b''
128,399,car,white,b''
129,403,car,blue,b''
130,406,car,blue,b''
131,408,car,white,b''
132,409,car,white,b''
133,409,car,blue,b''
134,411,car,blue,b''
135,415,motorcycle,blue,b''
136,415,car,blue,b''
137,427,motorcycle,blue,b''
138,429,car,blue,b''
139,432,motorcycle,white,b''
140,436,motorcycle,blue,b''
141,449,car,blue,b''
142,451,car,white,b''
143,461,car,blue,b''
144,463,car,blue,b''
145,472,car,blue,b''
146,475,car,blue,b''
147,486,motorcycle,blue,b''
148,493,car,blue,b''
149,496,car,white,b''
150,496,motorcycle,white,b''
151,502,car,white,b''
152,506,car,blue,b''
153,511,motorcycle,blue,b''
154,513,motorcycle,blue,b''
155,514,truck,blue,b''
156,516,motorcycle,blue,b''
157,517,car,blue,b''
158,518,car,white,b''
159,519,motorcycle,blue,b''
160,519,car,blue,b''
161,523,motorcycle,blue,b''
162,528,car,white,b''
163,530,motorcycle,blue,b''
164,531,motorcycle,blue,b''
165,541,motorcycle,white,b''
166,545,motorcycle,blue,b''
167,549,motorcycle,red,b''
168,554,motorcycle,blue,b''
169,555,motorcycle,white,b''
170,555,motorcycle,blue,b''
171,556,motorcycle,blue,b''
172,558,motorcycle,blue,b''
173,561,car,blue,b''
174,562,motorcycle,blue,b'Oe Oi ee \xe2\x80\x9cBenes I\n'
175,563,motorcycle,blue,b'Re Ch bee \xe2\x80\x9cBees\n'
176,566,motorcycle,blue,b''
177,572,motorcycle,white,b''
178,582,bus,white,b''
